SEQ,TABLE_NAME,TABLE_COMMENTS,COLUMN_NAME,POSITION,COLUMN_COMMENTS,DATA_TYPE,COLUMN_ID,IDX,COL_TOT,PK_COL
1,FB_ADMINMENUAUTH,권한별메뉴접근정보,LUSERID,,최종수정자,VARCHAR(20),1,1,4,
2,FB_ADMINMENUAUTH,권한별메뉴접근정보,LDATE,,최종수정일,VARCHAR(14),2,2,4,
3,FB_ADMINMENUAUTH,권한별메뉴접근정보,MENU,1,메뉴코드,VARCHAR(9),3,3,4,MENU
4,FB_ADMINMENUAUTH,권한별메뉴접근정보,GADMIN,2,권한코드,VARCHAR(4),4,4,4,GADMIN
5,FB_BATCHJOB,BATCH_JOB정보,JOB_SEQ,1,JOB코드,NUMBER,1,1,12,JOB_SEQ
6,FB_BATCHJOB,BATCH_JOB정보,JOBCLASS,,JOB구분,VARCHAR(20),2,2,12,
7,FB_BATCHJOB,BATCH_JOB정보,JOB,,JOB이름,VARCHAR(30),3,3,12,
8,FB_BATCHJOB,BATCH_JOB정보,URL,,실행URL,VARCHAR(200),4,4,12,
9,FB_BATCHJOB,BATCH_JOB정보,ISUSE,,사용여부,CHAR(1),5,5,12,
10,FB_BATCHJOB,BATCH_JOB정보,FREQUENCY,,반복빈도코드,VARCHAR(20),6,6,12,
11,FB_BATCHJOB,BATCH_JOB정보,REPEAT_DAY,,반복일,NUMBER,7,7,12,
12,FB_BATCHJOB,BATCH_JOB정보,REPEAT_WEEK,,반복요일,VARCHAR(10),8,8,12,
13,FB_BATCHJOB,BATCH_JOB정보,REPEAT_TIME,,반복시간,NUMBER,9,9,12,
14,FB_BATCHJOB,BATCH_JOB정보,REPEAT_NUM,,반복회수,NUMBER,10,10,12,
15,FB_BATCHJOB,BATCH_JOB정보,LUSERID,,최종수정자,VARCHAR(20),11,11,12,
16,FB_BATCHJOB,BATCH_JOB정보,LDATE,,최종수정일,VARCHAR(14),12,12,12,
17,FB_BATCHJOB_LOG,BATCH_JOB로그,LOGS,1,로그번호,NUMBER,1,1,7,LOGS
18,FB_BATCHJOB_LOG,BATCH_JOB로그,JOB_SEQ,,JOB코드,NUMBER,2,2,7,
19,FB_BATCHJOB_LOG,BATCH_JOB로그,START_DATE,,실행시작일시,VARCHAR(14),3,3,7,
20,FB_BATCHJOB_LOG,BATCH_JOB로그,END_DATE,,실행끝일시,VARCHAR(14),4,4,7,
21,FB_BATCHJOB_LOG,BATCH_JOB로그,RESULT,,결과,VARCHAR(20),5,5,7,
22,FB_BATCHJOB_LOG,BATCH_JOB로그,LUSERID,,최종수정자,VARCHAR(20),6,6,7,
23,FB_BATCHJOB_LOG,BATCH_JOB로그,LDATE,,최종수정일,VARCHAR(14),7,7,7,
24,FB_BATCH_ERROR_LOG,,IDX,1,인덱스,NUMBER,1,1,3,IDX
25,FB_BATCH_ERROR_LOG,,ERROR_MSG,,에러메세지,VARCHAR(4000),2,2,3,
26,FB_BATCH_ERROR_LOG,,REGDATE,,등록일,DATE,3,3,3,
27,FB_BATCH_TASK_LOG,배치수행정보,SEQ,1,시퀀스,NUMBER,1,1,8,SEQ
28,FB_BATCH_TASK_LOG,배치수행정보,TASK_DATE,,수행일자,VARCHAR(14),2,2,8,
29,FB_BATCH_TASK_LOG,배치수행정보,TASK_TIME,,수행시간,VARCHAR(6),3,3,8,
30,FB_BATCH_TASK_LOG,배치수행정보,BATCH_NM,,배치명,VARCHAR(256),4,4,8,
31,FB_BATCH_TASK_LOG,배치수행정보,SERVER_IP,,수행서버아이피,VARCHAR(20),5,5,8,
32,FB_BATCH_TASK_LOG,배치수행정보,TASK_START,,수행시작시간,VARCHAR(14),6,6,8,
33,FB_BATCH_TASK_LOG,배치수행정보,TASK_END,,수행종료시간,VARCHAR(14),7,7,8,
34,FB_BATCH_TASK_LOG,배치수행정보,TASK_TYPE,,구분,VARCHAR(20),8,8,8,
35,FB_BETAPROGRESS,관리자진도체크,SUBJSEQ,1,과정차수코드,VARCHAR(4),1,1,13,SUBJSEQ
36,FB_BETAPROGRESS,관리자진도체크,SUBJ,2,과정코드,VARCHAR(20),2,2,13,SUBJ
37,FB_BETAPROGRESS,관리자진도체크,USERID,3,사용자아이디,VARCHAR(20),3,3,13,USERID
38,FB_BETAPROGRESS,관리자진도체크,LESSON,4,차시코드,VARCHAR(3),4,4,13,LESSON
39,FB_BETAPROGRESS,관리자진도체크,MODULE,5,모듈코드,NUMBER,5,5,13,MODULE
40,FB_BETAPROGRESS,관리자진도체크,FIRST_DT,,학습시작시간,VARCHAR(14),6,6,13,
41,FB_BETAPROGRESS,관리자진도체크,LAST_DT,,학습종료시간,VARCHAR(14),7,7,13,
42,FB_BETAPROGRESS,관리자진도체크,FINAL_CNT,,학습회수,NUMBER,8,8,13,
43,FB_BETAPROGRESS,관리자진도체크,LAST_PATH,,마지막학습경로,VARCHAR(200),9,9,13,
44,FB_BETAPROGRESS,관리자진도체크,LAST_PAGENO,,마지막학습페이지번호,NUMBER,10,10,13,
45,FB_BETAPROGRESS,관리자진도체크,LUSERID,,최종수정자,VARCHAR(20),11,11,13,
46,FB_BETAPROGRESS,관리자진도체크,LDATE,,최종수정일,VARCHAR(14),12,12,13,
47,FB_BETAPROGRESS,관리자진도체크,STUDY_TIME,,총학습시간,NUMBER,13,13,13,
48,FB_BETAPROGRESS_LOG,관리자학습로그,SUBJSEQ,1,과정차수,VARCHAR(4),1,1,8,SUBJSEQ
49,FB_BETAPROGRESS_LOG,관리자학습로그,SUBJ,2,과정코드,VARCHAR(20),2,2,8,SUBJ
50,FB_BETAPROGRESS_LOG,관리자학습로그,USERID,3,사용자아이디,VARCHAR(20),3,3,8,USERID
51,FB_BETAPROGRESS_LOG,관리자학습로그,LESSON,4,차시코드,VARCHAR(3),4,4,8,LESSON
52,FB_BETAPROGRESS_LOG,관리자학습로그,MODULE,5,모듈코드,NUMBER,5,5,8,MODULE
53,FB_BETAPROGRESS_LOG,관리자학습로그,SEQ,6,일련번호,NUMBER,6,6,8,SEQ
54,FB_BETAPROGRESS_LOG,관리자학습로그,LDATE,,학습시작시간,VARCHAR(14),7,7,8,
55,FB_BETAPROGRESS_LOG,관리자학습로그,CHKDATE,,학습진도체크시간,VARCHAR(14),8,8,8,
56,FB_CANCEL,수강생취소정보,CANCEL_SEQ,1,취소번호,NUMBER,1,1,16,CANCEL_SEQ
57,FB_CANCEL,수강생취소정보,SUBJ,,과정코드,VARCHAR(20),2,2,16,
58,FB_CANCEL,수강생취소정보,SUBJSEQ,,과정차수,VARCHAR(4),3,3,16,
59,FB_CANCEL,수강생취소정보,USERID,,통합사번,VARCHAR(20),4,4,16,
60,FB_CANCEL,수강생취소정보,STATE,,학습자상태코드,VARCHAR(20),5,5,16,
61,FB_CANCEL,수강생취소정보,INDATE,,신청일자,VARCHAR(14),6,6,16,
62,FB_CANCEL,수강생취소정보,STATE_DATE,,처리일자,VARCHAR(14),7,7,16,
63,FB_CANCEL,수강생취소정보,STATE_USERID,,처리자통합사번,VARCHAR(20),8,8,16,
64,FB_CANCEL,수강생취소정보,CANCEL_TXT,,취소사유,VARCHAR(200),9,9,16,
65,FB_CANCEL,수강생취소정보,CHANGE_TXT,,차수변경사유,CLOB,10,10,16,
66,FB_CANCEL,수강생취소정보,OLD_SUBJSEQ,,변경전과정차수,VARCHAR(4),11,11,16,
67,FB_CANCEL,수강생취소정보,CLASS,,클래스코드,VARCHAR(4),12,12,16,
68,FB_CANCEL,수강생취소정보,SCORE,,총취득점수,NUMBER,13,13,16,
69,FB_CANCEL,수강생취소정보,LUSERID,,최종수정자,VARCHAR(20),14,14,16,
70,FB_CANCEL,수강생취소정보,LDATE,,최종수정일,VARCHAR(14),15,15,16,
71,FB_CANCEL,수강생취소정보,ORDR_IDXX,,주문번호,VARCHAR(40),16,16,16,
72,FB_COACH_DISCIPLINARY,지도자징계현황IF,USERID,1,통합사번,VARCHAR(20),1,1,14,USERID
73,FB_COACH_DISCIPLINARY,지도자징계현황IF,SEQ,2,번호,NUMBER,2,2,14,SEQ
74,FB_COACH_DISCIPLINARY,지도자징계현황IF,EFFECT_START,,효과시작일,VARCHAR(50),3,3,14,
75,FB_COACH_DISCIPLINARY,지도자징계현황IF,IPIN_CI,,아이핀CI,VARCHAR(200),4,4,14,
76,FB_COACH_DISCIPLINARY,지도자징계현황IF,HNAME,,,VARCHAR(50),5,5,14,
77,FB_COACH_DISCIPLINARY,지도자징계현황IF,CODE_NAME,,코드명,VARCHAR(100),6,6,14,
78,FB_COACH_DISCIPLINARY,지도자징계현황IF,REASON,,,CLOB,7,7,14,
79,FB_COACH_DISCIPLINARY,지도자징계현황IF,FST_REG_DT,,,VARCHAR(50),8,8,14,
80,FB_COACH_DISCIPLINARY,지도자징계현황IF,EFFECT_END,,효과종료일,VARCHAR(50),9,9,14,
81,FB_COACH_DISCIPLINARY,지도자징계현황IF,INUSERID,,등록자,VARCHAR(20),10,10,14,
82,FB_COACH_DISCIPLINARY,지도자징계현황IF,INDATE,,등록일,VARCHAR(14),11,11,14,
83,FB_COACH_DISCIPLINARY,지도자징계현황IF,LUSERID,,수정자,VARCHAR(20),12,12,14,
84,FB_COACH_DISCIPLINARY,지도자징계현황IF,LDATE,,수정일,VARCHAR(14),13,13,14,
85,FB_COACH_DISCIPLINARY,지도자징계현황IF,D_BOUND,,"출전불가 적용범위 M:전국대회(match), L:리그(league), 3:시군구, 4:시도, 5:연맹, 6:협회전체",VARCHAR(2),14,14,14,
86,FB_COACH_HISTORY,지도자경력IF,USERID,1,사용자아이디,VARCHAR(20),1,1,21,USERID
87,FB_COACH_HISTORY,지도자경력IF,SEQ,2,번호,NUMBER,2,2,21,SEQ
88,FB_COACH_HISTORY,지도자경력IF,TEAM,,소속팀,VARCHAR(100),3,3,21,
89,FB_COACH_HISTORY,지도자경력IF,JIK,,직급,VARCHAR(100),4,4,21,
90,FB_COACH_HISTORY,지도자경력IF,STATE,,상태,VARCHAR(100),5,5,21,
91,FB_COACH_HISTORY,지도자경력IF,ACTIVITY,,,VARCHAR(10),6,6,21,
92,FB_COACH_HISTORY,지도자경력IF,SDATE,,처리일,VARCHAR(20),7,7,21,
93,FB_COACH_HISTORY,지도자경력IF,INUSERID,,등록자,VARCHAR(20),8,8,21,
94,FB_COACH_HISTORY,지도자경력IF,INDATE,,등록일,VARCHAR(14),9,9,21,
95,FB_COACH_HISTORY,지도자경력IF,LUSERID,,수정자,VARCHAR(20),10,10,21,
96,FB_COACH_HISTORY,지도자경력IF,LDATE,,수정일,VARCHAR(14),11,11,21,
97,FB_COACH_HISTORY,지도자경력IF,DEL_YN,,,CHAR(1),12,12,21,
98,FB_COACH_HISTORY,지도자경력IF,AFTER_TEAMID,,,VARCHAR(1000),13,13,21,
99,FB_COACH_HISTORY,지도자경력IF,AFTER_TEAMNAME,,,VARCHAR(1000),14,14,21,
100,FB_COACH_HISTORY,지도자경력IF,AFTER_POSITION,,,VARCHAR(1000),15,15,21,
101,FB_COACH_HISTORY,지도자경력IF,GRADE,,,VARCHAR(1000),16,16,21,
102,FB_COACH_HISTORY,지도자경력IF,BEFORE_TEAMID,,,VARCHAR(1000),17,17,21,
103,FB_COACH_HISTORY,지도자경력IF,BEFORE_TEAMNAME,,,VARCHAR(1000),18,18,21,
104,FB_COACH_HISTORY,지도자경력IF,BEFORE_POSITION,,,VARCHAR(1000),19,19,21,
105,FB_COACH_HISTORY,지도자경력IF,REGDATE,,,VARCHAR(1000),20,20,21,
106,FB_COACH_HISTORY,지도자경력IF,STATUS,,,VARCHAR(100),21,21,21,
107,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,USERID,1,사용자아이디,VARCHAR(20),1,1,13,USERID
108,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,SEQ,2,번호,NUMBER,2,2,13,SEQ
109,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,ACTIVITY,,,VARCHAR(10),3,3,13,
110,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,STATUS,,상태코드,VARCHAR(50),4,4,13,
111,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,AFTER_TEAMNAME,,이적팀명,VARCHAR(100),5,5,13,
112,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,AFTER_POSITION,,이적포지션,VARCHAR(100),6,6,13,
113,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,BEFORE_TEAMNAME,,이전팀명,VARCHAR(100),7,7,13,
114,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,BEFORE_POSITION,,이전포지션,VARCHAR(100),8,8,13,
115,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,REGDATE,,이적일,VARCHAR(50),9,9,13,
116,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,INUSERID,,등록자,VARCHAR(20),10,10,13,
117,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,INDATE,,등록일,VARCHAR(14),11,11,13,
118,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,LUSERID,,수정자,VARCHAR(20),12,12,13,
119,FB_COACH_TRADE_HISTORY,지도자팀이적기록IF,LDATE,,수정일,VARCHAR(14),13,13,13,
120,FB_CODE,공통코드정보,CODE,1,코드,VARCHAR(20),1,1,7,CODE
121,FB_CODE,공통코드정보,CODENM,,코드명,VARCHAR(100),2,2,7,
122,FB_CODE,공통코드정보,LUSERID,,수정자,VARCHAR(20),3,3,7,
123,FB_CODE,공통코드정보,LDATE,,수정일,VARCHAR(14),4,4,7,
124,FB_CODE,공통코드정보,ORDERS,,정렬순서,NUMBER,5,5,7,
125,FB_CODE,공통코드정보,GUBUN,2,구분코드,VARCHAR(4),6,6,7,GUBUN
126,FB_CODE,공통코드정보,PUSH_DEVICE,,,VARCHAR(20),7,7,7,
127,FB_CODEGUBUN,공통코드구분정보,GUBUN,1,구분코드,VARCHAR(4),1,1,5,GUBUN
128,FB_CODEGUBUN,공통코드구분정보,GUBUNNM,,구분코드명,VARCHAR(100),2,2,5,
129,FB_CODEGUBUN,공통코드구분정보,ISSYSTEM,,하위코드수동등록여부,CHAR(1),3,3,5,
130,FB_CODEGUBUN,공통코드구분정보,LUSERID,,수정자,VARCHAR(20),4,4,5,
131,FB_CODEGUBUN,공통코드구분정보,LDATE,,수정일,VARCHAR(14),5,5,5,
132,FB_COMMON_EXCEPT,제외자정보,SEQ,1,일련번호,NUMBER,1,1,7,SEQ
133,FB_COMMON_EXCEPT,제외자정보,GUBUN,,제외구분,VARCHAR(100),2,2,7,
134,FB_COMMON_EXCEPT,제외자정보,SUBJGUBUN,,과정구분코드(자격증),VARCHAR(30),3,3,7,
135,FB_COMMON_EXCEPT,제외자정보,USERID,,통합사번,VARCHAR(20),4,4,7,
136,FB_COMMON_EXCEPT,제외자정보,LUSERID,,수정자,VARCHAR(20),5,5,7,
137,FB_COMMON_EXCEPT,제외자정보,LDATE,,수정일,VARCHAR(14),6,6,7,
138,FB_COMMON_EXCEPT,제외자정보,COMMENTS,,비고,VARCHAR(100),7,7,7,
139,FB_COMP,회사정보,COMP,1,회사코드,VARCHAR(20),1,1,24,COMP
140,FB_COMP,회사정보,COMPNM,,회사명,VARCHAR(200),2,2,24,
141,FB_COMP,회사정보,COMPRESNO,,사업자등록번호,VARCHAR(13),3,3,24,
142,FB_COMP,회사정보,OWNER,,대표자성명,VARCHAR(20),4,4,24,
143,FB_COMP,회사정보,POST,,우편번호,VARCHAR(7),5,5,24,
144,FB_COMP,회사정보,ADDR1,,사업장주소,VARCHAR(200),6,6,24,
145,FB_COMP,회사정보,ADDR2,,사업장상세주소,VARCHAR(200),7,7,24,
146,FB_COMP,회사정보,PHONE,,전화번호,VARCHAR(16),8,8,24,
147,FB_COMP,회사정보,FAX,,팩스번호,VARCHAR(16),9,9,24,
148,FB_COMP,회사정보,HOMEPAGE,,홈페이지,VARCHAR(100),10,10,24,
149,FB_COMP,회사정보,COMP_TYPE,,기업규모코드,VARCHAR(20),11,11,24,
150,FB_COMP,회사정보,DEPT_TYPE,,업종코드,VARCHAR(200),12,12,24,
151,FB_COMP,회사정보,MEMO,,회사설명,CLOB,13,13,24,
152,FB_COMP,회사정보,INUSERID,,등록자,VARCHAR(20),14,14,24,
153,FB_COMP,회사정보,INDATE,,등록일,VARCHAR(14),15,15,24,
154,FB_COMP,회사정보,LUSERID,,수정자,VARCHAR(20),16,16,24,
155,FB_COMP,회사정보,LDATE,,수정일,VARCHAR(14),17,17,24,
156,FB_COMP,회사정보,GUBUN,,회사구분,VARCHAR(20),18,18,24,
157,FB_COMP,회사정보,GRADE_TYPE,,,VARCHAR(10),19,19,24,
158,FB_COMP,회사정보,ONLINE_EWORK_YN,,,CHAR(1),20,20,24,
159,FB_COMP,회사정보,OFFLINE_EWORK_YN,,,CHAR(1),21,21,24,
160,FB_COMP,회사정보,OUTSUBJ_EWORK_YN,,,CHAR(1),22,22,24,
161,FB_COMP,회사정보,ORD,,정렬순서,NUMBER,23,23,24,
162,FB_COMP,회사정보,ONLINE_SELFWORK_YN,,,CHAR(1),24,24,24,
163,FB_COMPCLASS,외부업체정보,COMP,1,회사코드,VARCHAR(20),1,1,7,COMP
164,FB_COMPCLASS,외부업체정보,INUSERID,,등록자,VARCHAR(20),2,2,7,
165,FB_COMPCLASS,외부업체정보,INDATE,,등록일,VARCHAR(14),3,3,7,
166,FB_COMPCLASS,외부업체정보,LUSERID,,수정자,VARCHAR(20),4,4,7,
167,FB_COMPCLASS,외부업체정보,LDATE,,수정일,VARCHAR(14),5,5,7,
168,FB_COMPCLASS,외부업체정보,USERID,,사용자아이디,VARCHAR(20),6,6,7,
169,FB_COMPCLASS,외부업체정보,CPRATE,,,NUMBER,7,7,7,
170,FB_CONTENTS_MEDIAKEY,컨텐츠 미디어키,UPLOAD_KEY,1,업로드키,VARCHAR(20),1,1,8,UPLOAD_KEY
171,FB_CONTENTS_MEDIAKEY,컨텐츠 미디어키,FILE_NM,,파일명,VARCHAR(200),2,2,8,
172,FB_CONTENTS_MEDIAKEY,컨텐츠 미디어키,MEDIA_KEY,,미디어키,VARCHAR(10),3,3,8,
173,FB_CONTENTS_MEDIAKEY,컨텐츠 미디어키,CALLBACK_YN,,콜백여부,VARCHAR(1),4,4,8,
174,FB_CONTENTS_MEDIAKEY,컨텐츠 미디어키,INUSERID,,등록자자,VARCHAR(20),5,5,8,
175,FB_CONTENTS_MEDIAKEY,컨텐츠 미디어키,INDATE,,등록일,VARCHAR(14),6,6,8,
176,FB_CONTENTS_MEDIAKEY,컨텐츠 미디어키,LUSERID,,최종수정자,VARCHAR(20),7,7,8,
177,FB_CONTENTS_MEDIAKEY,컨텐츠 미디어키,LDATE,,최종수정일,VARCHAR(14),8,8,8,
178,FB_CONTENT_MAIN,메인콘텐츠관리,SEQ,1,글번호,NUMBER,1,1,14,SEQ
179,FB_CONTENT_MAIN,메인콘텐츠관리,GRGUBUN,2,"그룹구분(지도자:L, 심판:R)",CHAR(1),2,2,14,GRGUBUN
180,FB_CONTENT_MAIN,메인콘텐츠관리,CONTENTTYPE,,공지구분,CHAR(1),3,3,14,
181,FB_CONTENT_MAIN,메인콘텐츠관리,URL,,URL,VARCHAR(200),4,4,14,
182,FB_CONTENT_MAIN,메인콘텐츠관리,WIDTHSIZE,,가로사이즈,NUMBER,5,5,14,
183,FB_CONTENT_MAIN,메인콘텐츠관리,HEIGHTSIZE,,세로사이즈,NUMBER,6,6,14,
184,FB_CONTENT_MAIN,메인콘텐츠관리,TITLE,,제목,VARCHAR(200),7,7,14,
185,FB_CONTENT_MAIN,메인콘텐츠관리,CNT,,조회수,NUMBER,8,8,14,
186,FB_CONTENT_MAIN,메인콘텐츠관리,INUSERID,,작성자,VARCHAR(20),9,9,14,
187,FB_CONTENT_MAIN,메인콘텐츠관리,INDATE,,작성일,VARCHAR(14),10,10,14,
188,FB_CONTENT_MAIN,메인콘텐츠관리,LUSERID,,최종수정자,VARCHAR(20),11,11,14,
189,FB_CONTENT_MAIN,메인콘텐츠관리,LDATE,,최종수정일,VARCHAR(14),12,12,14,
190,FB_CONTENT_MAIN,메인콘텐츠관리,IMGTYPE,,"이미지타입(L : URL, F : 첨부파일)",CHAR(1),13,13,14,
191,FB_CONTENT_MAIN,메인콘텐츠관리,IMGURL,,이미지정보,VARCHAR(200),14,14,14,
192,FB_CONTENT_MAPPING,메인콘텐츠매핑,SEQ,1,글번호,NUMBER,1,1,8,SEQ
193,FB_CONTENT_MAPPING,메인콘텐츠매핑,GRGUBUN,2,"그룹구분(지도자:L, 심판:R)",CHAR(1),2,2,8,GRGUBUN
194,FB_CONTENT_MAPPING,메인콘텐츠매핑,INUSERID,,,VARCHAR(20),3,3,8,
195,FB_CONTENT_MAPPING,메인콘텐츠매핑,INDATE,,작성일,VARCHAR(14),4,4,8,
196,FB_CONTENT_MAPPING,메인콘텐츠매핑,LUSERID,,최종수정자,VARCHAR(20),5,5,8,
197,FB_CONTENT_MAPPING,메인콘텐츠매핑,LDATE,,최종수정일,VARCHAR(14),6,6,8,
198,FB_CONTENT_MAPPING,메인콘텐츠매핑,SORT,,,NUMBER,7,7,8,
199,FB_CONTENT_MAPPING,메인콘텐츠매핑,MAPPING_YN,,매핑유무,CHAR(1),8,8,8,
200,FB_COURSE,코스레프트,SUBJ,1,과정코드,VARCHAR(50),1,1,7,SUBJ
201,FB_COURSE,코스레프트,SUBJSEQ,2,차수코드,VARCHAR(200),2,2,7,SUBJSEQ
202,FB_COURSE,코스레프트,CODE,,코스코드,VARCHAR(500),3,3,7,
203,FB_COURSE,코스레프트,INUSERID,,등록자,VARCHAR(20),4,4,7,
204,FB_COURSE,코스레프트,INDATE,,등록일,VARCHAR(16),5,5,7,
205,FB_COURSE,코스레프트,LUSERID,,수정자,VARCHAR(20),6,6,7,
206,FB_COURSE,코스레프트,LDATE,,수정일,VARCHAR(16),7,7,7,
207,FB_COURSE_CODE,코스레프트코드,CODE,1,코스코드,VARCHAR(20),1,1,8,CODE
208,FB_COURSE_CODE,코스레프트코드,CODENM_KOR,,코스명한글,VARCHAR(50),2,2,8,
209,FB_COURSE_CODE,코스레프트코드,CODENM_ENG,,코스명영문,VARCHAR(200),3,3,8,
210,FB_COURSE_CODE,코스레프트코드,UPPER,,상위코드,VARCHAR(20),4,4,8,
211,FB_COURSE_CODE,코스레프트코드,INUSERID,,등록자,VARCHAR(20),5,5,8,
212,FB_COURSE_CODE,코스레프트코드,INDATE,,등록일,VARCHAR(16),6,6,8,
213,FB_COURSE_CODE,코스레프트코드,LUSERID,,수정자,VARCHAR(20),7,7,8,
214,FB_COURSE_CODE,코스레프트코드,LDATE,,수정일,VARCHAR(16),8,8,8,
215,FB_CULTURE_MEDIAKEY_TEMP,,MEDIA_CONTENT_KEY,,,VARCHAR(20),1,1,2,
216,FB_CULTURE_MEDIAKEY_TEMP,,NEW_MEDIA_CONTENT_KEY,,,VARCHAR(20),2,2,2,
217,FB_CULTURE_PLAY,교양강좌학습정보,SUBJ,1,과정코드,VARCHAR(20),1,1,5,SUBJ
218,FB_CULTURE_PLAY,교양강좌학습정보,SEQ,2,번호,NUMBER,2,2,5,SEQ
219,FB_CULTURE_PLAY,교양강좌학습정보,USERID,3,사용자아이디,VARCHAR(20),3,3,5,USERID
220,FB_CULTURE_PLAY,교양강좌학습정보,INUSERID,,등록자,VARCHAR(20),4,4,5,
221,FB_CULTURE_PLAY,교양강좌학습정보,INDATE,,등록일,VARCHAR(14),5,5,5,
222,FB_EXAM,평가문제정보,SUBJ,1,과정코드,VARCHAR(20),1,1,11,SUBJ
223,FB_EXAM,평가문제정보,EXAM_SEQ,2,문제번호,NUMBER,2,2,11,EXAM_SEQ
224,FB_EXAM,평가문제정보,LEVELS,,난이도,VARCHAR(20),3,3,11,
225,FB_EXAM,평가문제정보,EXAM_TYPE,,문제분류,VARCHAR(20),4,4,11,
226,FB_EXAM,평가문제정보,USE_YN,,사용여부,CHAR(1),5,5,11,
227,FB_EXAM,평가문제정보,EXAM_TEXT,,문제,VARCHAR(1000),6,6,11,
228,FB_EXAM,평가문제정보,EXP_TEXT,,문제해설,VARCHAR(1000),7,7,11,
229,FB_EXAM,평가문제정보,INUSERID,,등록자,VARCHAR(20),8,8,11,
230,FB_EXAM,평가문제정보,INDATE,,등록일,VARCHAR(14),9,9,11,
231,FB_EXAM,평가문제정보,LUSERID,,수정자,VARCHAR(20),10,10,11,
232,FB_EXAM,평가문제정보,LDATE,,수정일,VARCHAR(14),11,11,11,
233,FB_EXAMPAPER,평가지정보,SUBJ,1,과정코드,VARCHAR(20),1,1,25,SUBJ
234,FB_EXAMPAPER,평가지정보,PAPER_SEQ,2,문제지번호,NUMBER,2,2,25,PAPER_SEQ
235,FB_EXAMPAPER,평가지정보,PAPER_TYPE,,문제지구분,VARCHAR(20),3,3,25,
236,FB_EXAMPAPER,평가지정보,PAPER_TITLE,,문제지명,VARCHAR(200),4,4,25,
237,FB_EXAMPAPER,평가지정보,ISOPEN_ANSWER,,점수결과공개여부,CHAR(1),5,5,25,
238,FB_EXAMPAPER,평가지정보,ISOPEN_EXP,,문제해설공개여부,CHAR(1),6,6,25,
239,FB_EXAMPAPER,평가지정보,TYPE2_LEV1_CNT,,객관식난이도상문제수,NUMBER,7,7,25,
240,FB_EXAMPAPER,평가지정보,TYPE2_LEV2_CNT,,객관식난이도중문제수,NUMBER,8,8,25,
241,FB_EXAMPAPER,평가지정보,TYPE2_LEV3_CNT,,객관식난이도하문제수,NUMBER,9,9,25,
242,FB_EXAMPAPER,평가지정보,TYPE1_LEV1_CNT,,단답형난이도상문제수,NUMBER,10,10,25,
243,FB_EXAMPAPER,평가지정보,TYPE1_LEV2_CNT,,단답형난이도중문제수,NUMBER,11,11,25,
244,FB_EXAMPAPER,평가지정보,TYPE1_LEV3_CNT,,단답형난이도하문제수,NUMBER,12,12,25,
245,FB_EXAMPAPER,평가지정보,TYPE4_LEV1_CNT,,서술형난이도상문제수,NUMBER,13,13,25,
246,FB_EXAMPAPER,평가지정보,TYPE4_LEV2_CNT,,서술형난이도중문제수,NUMBER,14,14,25,
247,FB_EXAMPAPER,평가지정보,TYPE4_LEV3_CNT,,서술형난이도하문제수,NUMBER,15,15,25,
248,FB_EXAMPAPER,평가지정보,TYPE3_LEV1_CNT,,OX난이도상문제수,NUMBER,16,16,25,
249,FB_EXAMPAPER,평가지정보,TYPE3_LEV2_CNT,,OX난이도중문제수,NUMBER,17,17,25,
250,FB_EXAMPAPER,평가지정보,TYPE3_LEV3_CNT,,OX난이도하문제수,NUMBER,18,18,25,
251,FB_EXAMPAPER,평가지정보,LEV1_SCORE,,난이도상배점,NUMBER,19,19,25,
252,FB_EXAMPAPER,평가지정보,LEV2_SCORE,,난이도중배점,NUMBER,20,20,25,
253,FB_EXAMPAPER,평가지정보,LEV3_SCORE,,난이도하배점,NUMBER,21,21,25,
254,FB_EXAMPAPER,평가지정보,INUSERID,,등록자,VARCHAR(20),22,22,25,
255,FB_EXAMPAPER,평가지정보,INDATE,,등록일,VARCHAR(14),23,23,25,
256,FB_EXAMPAPER,평가지정보,LUSERID,,수정자,VARCHAR(20),24,24,25,
257,FB_EXAMPAPER,평가지정보,LDATE,,수정일,VARCHAR(14),25,25,25,
258,FB_EXAMPAPER_EXAM,평가지별문제맵핑정보,SUBJ,1,과정코드,VARCHAR(20),1,1,7,SUBJ
259,FB_EXAMPAPER_EXAM,평가지별문제맵핑정보,PAPER_SEQ,2,문제지번호,NUMBER,2,2,7,PAPER_SEQ
260,FB_EXAMPAPER_EXAM,평가지별문제맵핑정보,EXAM_SEQ,3,문제번호,NUMBER,3,3,7,EXAM_SEQ
261,FB_EXAMPAPER_EXAM,평가지별문제맵핑정보,INUSERID,,등록자,VARCHAR(20),4,4,7,
