seq,no.1,table_name,table_comments,column_name,column_comments,DATA_TYPE,position,pk_col,column_id,col_tot
117,9_1,matches_team_stats,팀 단위 집계 데이터,cross_succeeded,"""cross"": true인 모든 패스 성공 (=크로스 성공)",integer,,,19,66
118,9_1,matches_team_stats,팀 단위 집계 데이터,final_third_area_pass,경기장을 삼등분 했을 때 상대팀 골대에 가까운 지역에서 시작한 모든 패스,integer,,,20,66
119,9_1,matches_team_stats,팀 단위 집계 데이터,final_third_area_pass_succeeded,경기장을 삼등분 했을 때 상대팀 골대에 가까운 지역에서 시작한 모든 패스 성공,integer,,,21,66
120,9_1,matches_team_stats,팀 단위 집계 데이터,middle_area_pass,경기장을 삼등분 했을 때 중간 지역에서 시작한 모든 패스,integer,,,22,66
121,9_1,matches_team_stats,팀 단위 집계 데이터,middle_area_pass_succeeded,경기장을 삼등분 했을 때 중간 지역에서 시작한 모든 패스 성공,integer,,,23,66
122,9_1,matches_team_stats,팀 단위 집계 데이터,defensive_area_pass,경기장을 삼등분 했을 때 우리팀 골대에 가까운 지역에서 시작한 모든 패스,integer,,,24,66
123,9_1,matches_team_stats,팀 단위 집계 데이터,defensive_area_pass_succeeded,경기장을 삼등분 했을 때 우리팀 골대에 가까운 지역에서 시작한 모든 패스 성공,integer,,,25,66
124,9_1,matches_team_stats,팀 단위 집계 데이터,short_pass,거리가 15미터 미만인 모든 패스,integer,,,26,66
125,9_1,matches_team_stats,팀 단위 집계 데이터,short_pass_succeeded,거리가 15미터 미만인 모든 패스 성공,integer,,,27,66
126,9_1,matches_team_stats,팀 단위 집계 데이터,medium_range_pass,"거리가 15미터 이상, 30미터 미만인 모든 패스",integer,,,28,66
127,9_1,matches_team_stats,팀 단위 집계 데이터,medium_range_pass_succeeded,"거리가 15미터 이상, 30미터 미만인 모든 패스 성공",integer,,,29,66
128,9_1,matches_team_stats,팀 단위 집계 데이터,long_pass,거리가 30미터 이상인 모든 패스,integer,,,30,66
129,9_1,matches_team_stats,팀 단위 집계 데이터,long_pass_succeeded,거리가 30미터 이상인 모든 패스 성공,integer,,,31,66
130,9_1,matches_team_stats,팀 단위 집계 데이터,forward_pass,방향이 앞쪽으로(상대팀 골대 방향) 60도 이내인 모든 패스,integer,,,32,66
131,9_1,matches_team_stats,팀 단위 집계 데이터,forward_pass_succeeded,방향이 앞쪽으로(상대팀 골대 방향) 60도 이내인 모든 패스 성공,integer,,,33,66
132,9_1,matches_team_stats,팀 단위 집계 데이터,backward_pass,방향이 뒤쪽으로(우리팀 골대 방향) 60도 이내인 모든 패스,integer,,,34,66
133,9_1,matches_team_stats,팀 단위 집계 데이터,backward_pass_succeeded,방향이 뒤쪽으로(우리팀 골대 방향) 60도 이내인 모든 패스 성공,integer,,,35,66
134,9_1,matches_team_stats,팀 단위 집계 데이터,sideways_pass,방향이 양 옆으로 120도 이내인 모든 패스,integer,,,36,66
135,9_1,matches_team_stats,팀 단위 집계 데이터,sideways_pass_succeeded,방향이 양 옆으로 120도 이내인 모든 패스 성공,integer,,,37,66
136,9_1,matches_team_stats,팀 단위 집계 데이터,tackle,태클 성공 + 태클 실패,integer,,,38,66
137,9_1,matches_team_stats,팀 단위 집계 데이터,tackle_succeeded,태클 성공,integer,,,39,66
138,9_1,matches_team_stats,팀 단위 집계 데이터,aerial_duel,공중볼 경합 성공 + 공중볼 경합 실패,integer,,,40,66
139,9_1,matches_team_stats,팀 단위 집계 데이터,aerial_duel_succeeded,공중볼 경합 성공,integer,,,41,66
140,9_1,matches_team_stats,팀 단위 집계 데이터,ground_duel,그라운드 경합 성공 + 그라운드 경합 실패,integer,,,42,66
141,9_1,matches_team_stats,팀 단위 집계 데이터,ground_duel_succeeded,그라운드 경합 성공,integer,,,43,66
142,9_1,matches_team_stats,팀 단위 집계 데이터,intercept,인터셉트,integer,,,44,66
143,9_1,matches_team_stats,팀 단위 집계 데이터,clearance,클리어,integer,,,45,66
144,9_1,matches_team_stats,팀 단위 집계 데이터,recovery,획득,integer,,,46,66
145,9_1,matches_team_stats,팀 단위 집계 데이터,intervention,차단,integer,,,47,66
146,9_1,matches_team_stats,팀 단위 집계 데이터,take_on,돌파 성공 + 돌파 실패,integer,,,48,66
147,9_1,matches_team_stats,팀 단위 집계 데이터,take_on_succeeded,돌파 성공,integer,,,49,66
148,9_1,matches_team_stats,팀 단위 집계 데이터,mistake,미스,integer,,,50,66
149,9_1,matches_team_stats,팀 단위 집계 데이터,block,블락,integer,,,51,66
150,9_1,matches_team_stats,팀 단위 집계 데이터,foul,파울 + 핸드볼 파울 + 스로인 파울,integer,,,52,66
151,9_1,matches_team_stats,팀 단위 집계 데이터,foul_won,피파울,integer,,,53,66
152,9_1,matches_team_stats,팀 단위 집계 데이터,offside,오프사이드,integer,,,54,66
153,9_1,matches_team_stats,팀 단위 집계 데이터,yellow_card,경고,integer,,,55,66
154,9_1,matches_team_stats,팀 단위 집계 데이터,red_card,퇴장,integer,,,56,66
155,9_1,matches_team_stats,팀 단위 집계 데이터,own_goal,자책골,integer,,,57,66
