seq,no.1,table_name,table_comments,column_name,column_comments,DATA_TYPE,position,pk_col,column_id,col_tot
201,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,sideways_pass,방향이 양 옆으로 120도 이내인 모든 패스,integer,,,37,68
202,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,sideways_pass_succeeded,방향이 양 옆으로 120도 이내인 모든 패스 성공,integer,,,38,68
203,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,tackle,태클 성공 + 태클 실패,integer,,,39,68
204,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,tackle_succeeded,태클 성공,integer,,,40,68
205,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,aerial_duel,공중볼 경합 성공 + 공중볼 경합 실패,integer,,,41,68
206,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,aerial_duel_succeeded,공중볼 경합 성공,integer,,,42,68
207,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,ground_duel,그라운드 경합 성공 + 그라운드 경합 실패,integer,,,43,68
208,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,ground_duel_succeeded,그라운드 경합 성공,integer,,,44,68
209,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,intercept,인터셉트,integer,,,45,68
210,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,clearance,클리어,integer,,,46,68
211,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,recovery,획득,integer,,,47,68
212,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,intervention,차단,integer,,,48,68
213,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,take_on,돌파 성공 + 돌파 실패,integer,,,49,68
214,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,take_on_succeeded,돌파 성공,integer,,,50,68
215,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,mistake,미스,integer,,,51,68
216,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,block,블락,integer,,,52,68
217,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,foul,파울 + 핸드볼 파울 + 스로인 파울,integer,,,53,68
218,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,foul_won,피파울,integer,,,54,68
